INFO  - 24-07-25 00:39:10 [__main__       ] Storing train run in /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-139
INFO  - 24-07-25 00:39:10 [__main__       ] lr: 0.001
INFO  - 24-07-25 00:39:10 [__main__       ] milestones: 3 30 100 180
INFO  - 24-07-25 00:39:10 [__main__       ] gamma: 0.5
INFO  - 24-07-25 00:39:10 [__main__       ] nepoch: 500
INFO  - 24-07-25 00:39:10 [__main__       ] truncate: 4
INFO  - 24-07-25 00:39:10 [__main__       ] print-freq: 1
INFO  - 24-07-25 00:39:10 [__main__       ] checkpoint-freq: 1000
INFO  - 24-07-25 00:39:10 [__main__       ] batch-size: 2
INFO  - 24-07-25 00:39:10 [__main__       ] time-limit: 48
INFO  - 24-07-25 00:39:10 [__main__       ] nfeature: 128
INFO  - 24-07-25 00:39:10 [__main__       ] kernel: 313 None None
INFO  - 24-07-25 00:39:10 [__main__       ] temporal-rnn: on
INFO  - 24-07-25 00:39:10 [__main__       ] ndynamic: 32
INFO  - 24-07-25 00:39:10 [__main__       ] acceleration: 2
INFO  - 24-07-25 00:52:12 [train          ] [1,     177] train loss: 1.454498e+00.
INFO  - 24-07-25 00:52:13 [train          ] [1,     178] train loss: 8.070027e-01.
INFO  - 24-07-25 00:52:14 [train          ] [1,     179] train loss: 1.278153e+00.
INFO  - 24-07-25 00:52:15 [train          ] [1,     180] train loss: 8.615198e-01.
INFO  - 24-07-25 00:52:16 [train          ] [1,     181] train loss: 1.033227e+00.
INFO  - 24-07-25 00:52:17 [train          ] [1,     182] train loss: 5.890169e-01.
INFO  - 24-07-25 00:52:17 [train          ] [1,     183] train loss: 7.712663e-01.
INFO  - 24-07-25 00:52:18 [train          ] [1,     184] train loss: 9.275579e-01.
INFO  - 24-07-25 00:52:19 [train          ] [1,     185] train loss: 8.785636e-01.
INFO  - 24-07-25 00:52:20 [train          ] [1,     186] train loss: 8.274277e-01.
INFO  - 24-07-25 00:52:21 [train          ] [1,     187] train loss: 7.425237e-01.
INFO  - 24-07-25 00:52:22 [train          ] [1,     188] train loss: 6.511739e-01.
INFO  - 24-07-25 00:52:22 [train          ] [1,     189] train loss: 1.315429e+00.
INFO  - 24-07-25 00:52:23 [train          ] [1,     190] train loss: 1.016135e+00.
INFO  - 24-07-25 00:52:24 [train          ] [1,     191] train loss: 8.107234e-01.
INFO  - 24-07-25 00:52:25 [train          ] [1,     192] train loss: 1.072238e+00.
INFO  - 24-07-25 00:52:26 [train          ] [1,     193] train loss: 8.940268e-01.
INFO  - 24-07-25 00:52:27 [train          ] [1,     194] train loss: 9.604859e-01.
INFO  - 24-07-25 00:52:27 [train          ] [1,     195] train loss: 1.435403e+00.
INFO  - 24-07-25 00:52:28 [train          ] [1,     196] train loss: 1.552707e+00.
INFO  - 24-07-25 00:52:29 [train          ] [1,     197] train loss: 1.117763e+00.
INFO  - 24-07-25 00:52:30 [train          ] [1,     198] train loss: 1.476871e+00.
INFO  - 24-07-25 00:52:31 [train          ] [1,     199] train loss: 8.103243e-01.
INFO  - 24-07-25 00:52:32 [train          ] [1,     200] train loss: 1.458381e+00.
INFO  - 24-07-25 00:52:33 [train          ] [1,     201] train loss: 9.844516e-01.
INFO  - 24-07-25 00:52:33 [train          ] [1,     202] train loss: 8.245727e-01.
INFO  - 24-07-25 00:52:34 [train          ] [1,     203] train loss: 8.620439e-01.
INFO  - 24-07-25 00:52:35 [train          ] [1,     204] train loss: 6.997836e-01.
INFO  - 24-07-25 00:52:36 [train          ] [1,     205] train loss: 6.526973e-01.
INFO  - 24-07-25 00:52:37 [train          ] [1,     206] train loss: 1.614414e+00.
INFO  - 24-07-25 00:52:38 [train          ] [1,     207] train loss: 1.067127e+00.
INFO  - 24-07-25 00:52:38 [train          ] [1,     208] train loss: 1.251469e+00.
INFO  - 24-07-25 00:52:39 [train          ] [1,     209] train loss: 5.236256e-01.
INFO  - 24-07-25 00:52:40 [train          ] [1,     210] train loss: 7.888638e-01.
INFO  - 24-07-25 00:52:41 [train          ] [1,     211] train loss: 1.132280e+00.
INFO  - 24-07-25 00:52:42 [train          ] [1,     212] train loss: 1.613822e+00.
INFO  - 24-07-25 00:52:43 [train          ] [1,     213] train loss: 1.288538e+00.
INFO  - 24-07-25 00:52:44 [train          ] [1,     214] train loss: 1.269165e+00.
INFO  - 24-07-25 00:52:44 [train          ] [1,     215] train loss: 8.624244e-01.
INFO  - 24-07-25 00:52:45 [train          ] [1,     216] train loss: 6.315790e-01.
INFO  - 24-07-25 00:52:46 [train          ] [1,     217] train loss: 6.362674e-01.
INFO  - 24-07-25 00:52:47 [train          ] [1,     218] train loss: 1.152420e+00.
INFO  - 24-07-25 00:52:48 [train          ] [1,     219] train loss: 1.136304e+00.
INFO  - 24-07-25 00:52:49 [train          ] [1,     220] train loss: 1.003262e+00.
INFO  - 24-07-25 00:52:49 [train          ] [1,     221] train loss: 1.055390e+00.
INFO  - 24-07-25 00:52:50 [train          ] [1,     222] train loss: 8.636488e-01.
INFO  - 24-07-25 00:52:51 [train          ] [1,     223] train loss: 7.497013e-01.
INFO  - 24-07-25 00:52:52 [train          ] [1,     224] train loss: 5.184493e-01.
INFO  - 24-07-25 00:52:53 [train          ] [1,     225] train loss: 9.105300e-01.
INFO  - 24-07-25 00:52:54 [train          ] [1,     226] train loss: 1.281095e+00.
INFO  - 24-07-25 00:52:55 [train          ] [1,     227] train loss: 1.441816e+00.
INFO  - 24-07-25 00:52:55 [train          ] [1,     228] train loss: 7.557752e-01.
INFO  - 24-07-25 00:52:56 [train          ] [1,     229] train loss: 1.118990e+00.
INFO  - 24-07-25 00:52:57 [train          ] [1,     230] train loss: 1.356577e+00.
